observation_date,DTB3
2022-07-27,2.37
2022-07-28,2.35
2022-07-29,2.34
2022-08-01,2.48
2022-08-02,2.48
2022-08-03,2.44
2022-08-04,2.41
2022-08-05,2.48
2022-08-08,2.57
2022-08-09,2.58
2022-08-10,2.56
2022-08-11,2.52
2022-08-12,2.53
2022-08-15,2.63
2022-08-16,2.61
2022-08-17,2.59
2022-08-18,2.61
2022-08-19,2.64
2022-08-22,2.74
2022-08-23,2.71
2022-08-24,2.73
2022-08-25,2.78
2022-08-26,2.78
2022-08-29,2.89
2022-08-30,2.88
2022-08-31,2.87
2022-09-01,2.88
2022-09-02,2.85
2022-09-05,
2022-09-06,2.96
2022-09-07,2.98
2022-09-08,2.97
2022-09-09,2.98
2022-09-12,3.09
2022-09-13,3.19
2022-09-14,3.14
2022-09-15,3.12
2022-09-16,3.10
2022-09-19,3.29
2022-09-20,3.26
2022-09-21,3.21
2022-09-22,3.19
2022-09-23,3.12
2022-09-26,3.30
2022-09-27,3.26
2022-09-28,3.29
2022-09-29,3.26
2022-09-30,3.22
2022-10-03,3.34
2022-10-04,3.32
2022-10-05,3.33
2022-10-06,3.32
2022-10-07,3.31
2022-10-10,
2022-10-11,3.53
2022-10-12,3.56
2022-10-13,3.64
2022-10-14,3.65
2022-10-17,3.82
2022-10-18,3.89
2022-10-19,3.91
2022-10-20,3.91
2022-10-21,3.90
2022-10-24,4.00
2022-10-25,3.97
2022-10-26,3.94
2022-10-27,3.95
2022-10-28,3.99
2022-10-31,4.06
2022-11-01,4.06
2022-11-02,4.04
2022-11-03,4.06
2022-11-04,4.02
2022-11-07,4.12
2022-11-08,4.10
2022-11-09,4.11
2022-11-10,4.09
2022-11-11,
2022-11-14,4.16
2022-11-15,4.14
2022-11-16,4.14
2022-11-17,4.13
2022-11-18,4.15
2022-11-21,4.23
2022-11-22,4.21
2022-11-23,4.21
2022-11-24,
2022-11-25,4.22
2022-11-28,4.30
2022-11-29,4.27
2022-11-30,4.27
2022-12-01,4.22
2022-12-02,4.22
2022-12-05,4.27
2022-12-06,4.27
2022-12-07,4.20
2022-12-08,4.17
2022-12-09,4.19
2022-12-12,4.29
2022-12-13,4.26
2022-12-14,4.23
2022-12-15,4.22
2022-12-16,4.20
2022-12-19,4.28
2022-12-20,4.25
2022-12-21,4.22
2022-12-22,4.24
2022-12-23,4.23
2022-12-26,
2022-12-27,4.35
2022-12-28,4.35
2022-12-29,4.34
2022-12-30,4.30
